symbol,vwap,avwap,orb_high,orb_low
AAPL,239.6152870215256,239.6152870215256,240.59,239.21
AMD,152.44565130249177,152.44565130249177,157.04,153.01
NVDA,166.37598352933725,166.37598352933725,168.16,166.41
TSLA,350.2543852840898,350.2543852840898,353.0,347.735
