symbol,et,o,h,l,c,v,vwap,avwap
AAPL,2025-09-09 11:30:00-04:00,236.23,236.25,236.12,236.12,2480.0,236.12,236.12
AAPL,2025-09-09 11:31:00-04:00,236.065,236.075,236.035,236.05,6896.0,236.06851535836176,236.06851535836176
AAPL,2025-09-09 11:32:00-04:00,236.04,236.14,236.03,236.14,2637.0,236.0842071089653,236.0842071089653
AAPL,2025-09-09 11:33:00-04:00,236.16,236.16,236.08,236.08,768.0,236.0839543071747,236.0839543071747
AAPL,2025-09-09 11:34:00-04:00,236.055,236.13,236.055,236.12,3288.0,236.09132988985002,236.09132988985002
AAPL,2025-09-09 11:35:00-04:00,236.105,236.105,236.055,236.055,889.0,236.08942534496992,236.08942534496992
AAPL,2025-09-09 11:36:00-04:00,236.07,236.16,236.055,236.16,574.0,236.0917359685147,236.0917359685147
AAPL,2025-09-09 11:37:00-04:00,236.2,236.2,236.07,236.07,1455.0,236.0900703112656,236.0900703112656
AAPL,2025-09-09 11:38:00-04:00,236.07,236.1,236.04,236.1,2228.0,236.09111312750412,236.09111312750412
AAPL,2025-09-09 11:39:00-04:00,236.09,236.18,236.08,236.16,1569.0,236.09585696102528,236.09585696102528
AAPL,2025-09-09 11:40:00-04:00,236.16,236.16,235.99,236.01,3058.0,236.08569712096588,236.08569712096588
AAPL,2025-09-09 11:41:00-04:00,235.96,236.01,235.96,235.965,1536.0,236.07892559719483,236.07892559719483
AAPL,2025-09-09 11:42:00-04:00,236.035,236.05,236.01,236.04,1394.0,236.0770396566106,236.0770396566106
AAPL,2025-09-09 11:43:00-04:00,236.03,236.05,235.985,235.985,1715.0,236.0718621051596,236.0718621051596
AAPL,2025-09-09 11:44:00-04:00,235.98,235.98,235.93,235.93,1238.0,236.06632624113476,236.06632624113476
AAPL,2025-09-09 11:45:00-04:00,235.94,236.08,235.94,236.08,1594.0,236.06698040157266,236.06698040157266
AAPL,2025-09-09 11:46:00-04:00,236.01,236.1,236.01,236.075,2004.0,236.0674353820457,236.0674353820457
AAPL,2025-09-09 11:47:00-04:00,236.09,236.09,235.98,236.02,3087.0,236.0636230148399,236.0636230148399
AAPL,2025-09-09 11:48:00-04:00,235.97,235.97,235.855,235.855,1335.0,236.0566155491257,236.0566155491257
AAPL,2025-09-09 11:49:00-04:00,235.86,235.86,235.81,235.81,1707.0,236.04645988130852,236.04645988130852
AAPL,2025-09-09 11:50:00-04:00,235.81,235.92,235.81,235.91,1883.0,236.0405304026768,236.0405304026768
AAPL,2025-09-09 11:51:00-04:00,235.885,235.99,235.885,235.99,1295.0,236.03906419448802,236.03906419448802
AAPL,2025-09-09 11:52:00-04:00,235.93,236.06,235.93,236.06,1124.0,236.03957850679723,236.03957850679723
AAPL,2025-09-09 11:53:00-04:00,236.04,236.105,236.02,236.09,1406.0,236.04108174300254,236.04108174300254
AAPL,2025-09-09 11:54:00-04:00,236.09,236.15,236.065,236.15,1340.0,236.0440910309278,236.0440910309278
AAPL,2025-09-09 11:55:00-04:00,236.13,236.13,236.09,236.12,1122.0,236.04580740397404,236.04580740397404
AAPL,2025-09-09 11:56:00-04:00,236.1,236.105,235.865,235.865,2362.0,236.0375920475531,236.0375920475531
AAPL,2025-09-09 11:57:00-04:00,235.845,235.845,235.62,235.62,5487.0,235.99772276452472,235.99772276452472
AAPL,2025-09-09 11:58:00-04:00,235.635,235.68,235.58,235.68,1995.0,235.98706361618403,235.98706361618403
AAPL,2025-09-09 11:59:00-04:00,235.645,235.7,235.605,235.68,4117.0,235.96718124341413,235.96718124341413
AAPL,2025-09-09 12:00:00-04:00,235.68,235.72,235.65,235.65,5838.0,235.94050769939932,235.94050769939932
AAPL,2025-09-09 12:01:00-04:00,235.66,235.71,235.56,235.585,4283.0,235.91984885487895,235.91984885487895
AAPL,2025-09-09 12:02:00-04:00,235.605,235.75,235.605,235.71,2319.0,235.91344764084556,235.91344764084556
AAPL,2025-09-09 12:03:00-04:00,235.69,235.8,235.68,235.78,1900.0,235.91019378104028,235.91019378104028
AAPL,2025-09-09 12:04:00-04:00,235.78,235.84,235.77,235.825,1944.0,235.90812012470735,235.90812012470735
AAPL,2025-09-09 12:05:00-04:00,235.79,235.84,235.79,235.79,1412.0,235.90606811107418,235.90606811107418
AAPL,2025-09-09 12:06:00-04:00,235.77,235.81,235.71,235.8,2923.0,235.90238604783735,235.90238604783735
AAPL,2025-09-09 12:07:00-04:00,235.77,235.82,235.77,235.82,1691.0,235.90076409020529,235.90076409020529
AAPL,2025-09-09 12:08:00-04:00,235.775,235.84,235.775,235.84,1813.0,235.89950801541514,235.89950801541514
AAPL,2025-09-09 12:09:00-04:00,235.84,235.97,235.84,235.97,3739.0,235.9023902892449,235.9023902892449
AAPL,2025-09-09 12:10:00-04:00,235.98,235.98,235.895,235.91,5615.0,235.90283051720587,235.90283051720587
AAPL,2025-09-09 12:11:00-04:00,235.89,235.95,235.855,235.95,3896.0,235.9046508379888,235.9046508379888
AMD,2025-09-09 11:30:00-04:00,153.51,153.63,153.51,153.52,1973.0,153.52,153.52
AMD,2025-09-09 11:31:00-04:00,153.535,153.575,153.475,153.545,2117.0,153.5329400977995,153.5329400977995
AMD,2025-09-09 11:32:00-04:00,153.5,153.58,153.5,153.58,1373.0,153.5447675269998,153.5447675269998
AMD,2025-09-09 11:33:00-04:00,153.55,153.59,153.45,153.46,2183.0,153.52056565524458,153.52056565524458
AMD,2025-09-09 11:34:00-04:00,153.48,153.56,153.48,153.53,1437.0,153.52205824066937,153.52205824066937
AMD,2025-09-09 11:35:00-04:00,153.485,153.51,153.44,153.49,2284.0,153.51561669745757,153.51561669745757
AMD,2025-09-09 11:36:00-04:00,153.48,153.56,153.46,153.52,1762.0,153.51620496610556,153.51620496610556
AMD,2025-09-09 11:37:00-04:00,153.56,153.56,153.41,153.41,1800.0,153.5033997588586,153.5033997588586
AMD,2025-09-09 11:38:00-04:00,153.42,153.46,153.39,153.46,1560.0,153.49929377160532,153.49929377160532
AMD,2025-09-09 11:39:00-04:00,153.445,153.45,153.26,153.26,3151.0,153.4609019857434,153.4609019857434
AMD,2025-09-09 11:40:00-04:00,153.25,153.25,153.13,153.13,853.0,153.44712853169375,153.44712853169375
AMD,2025-09-09 11:41:00-04:00,153.06,153.09,153.03,153.06,1139.0,153.426744868713,153.426744868713
AMD,2025-09-09 11:42:00-04:00,153.06,153.09,153.02,153.02,1958.0,153.3929845273421,153.3929845273421
AMD,2025-09-09 11:43:00-04:00,153.04,153.135,153.04,153.085,1511.0,153.37444484283495,153.37444484283495
AMD,2025-09-09 11:44:00-04:00,153.065,153.12,153.05,153.1,2303.0,153.3513808203182,153.3513808203182
AMD,2025-09-09 11:45:00-04:00,153.135,153.285,153.11,153.2,3725.0,153.3332660862861,153.3332660862861
AMD,2025-09-09 11:46:00-04:00,153.18,153.26,153.105,153.235,3198.0,153.32411134092695,153.32411134092695
AMD,2025-09-09 11:47:00-04:00,153.26,153.33,153.26,153.265,2906.0,153.31949775736578,153.31949775736578
AMD,2025-09-09 11:48:00-04:00,153.3,153.3,153.24,153.24,983.0,153.3174528993092,153.3174528993092
AMD,2025-09-09 11:49:00-04:00,153.265,153.265,153.135,153.135,2816.0,153.30493127315265,153.30493127315265
AMD,2025-09-09 11:50:00-04:00,153.16,153.285,153.15,153.285,1811.0,153.30408876595945,153.30408876595945
AMD,2025-09-09 11:51:00-04:00,153.295,153.43,153.28,153.375,2695.0,153.3082853880276,153.3082853880276
AMD,2025-09-09 11:52:00-04:00,153.355,153.355,153.225,153.275,1792.0,153.3070251426157,153.3070251426157
AMD,2025-09-09 11:53:00-04:00,153.22,153.22,153.13,153.16,4283.0,153.29482455970395,153.29482455970395
AMD,2025-09-09 11:54:00-04:00,153.135,153.26,153.13,153.26,12565.0,153.28800648197202,153.28800648197202
AMD,2025-09-09 11:55:00-04:00,153.23,153.335,153.23,153.29,825.0,153.28803178314845,153.28803178314845
AMD,2025-09-09 11:56:00-04:00,153.38,153.51,153.38,153.5,1557.0,153.292990234375,153.292990234375
AMD,2025-09-09 11:57:00-04:00,153.49,153.49,153.355,153.355,2540.0,153.29526960926194,153.29526960926194
AMD,2025-09-09 11:58:00-04:00,153.35,153.41,153.295,153.39,1588.0,153.29739771955636,153.29739771955636
AMD,2025-09-09 11:59:00-04:00,153.38,153.38,153.32,153.35,492.0,153.29776130935656,153.29776130935656
AMD,2025-09-09 12:00:00-04:00,153.28,153.28,153.21,153.23,2868.0,153.2951368031547,153.2951368031547
AMD,2025-09-09 12:01:00-04:00,153.23,153.35,153.23,153.28,1997.0,153.2947392990992,153.2947392990992
AMD,2025-09-09 12:02:00-04:00,153.31,153.6,153.3,153.6,2658.0,153.3050487274945,153.3050487274945
AMD,2025-09-09 12:03:00-04:00,153.555,153.87,153.555,153.87,1901.0,153.3183727854697,153.3183727854697
AMD,2025-09-09 12:04:00-04:00,153.89,153.99,153.85,153.92,3447.0,153.34304600778097,153.34304600778097
AMD,2025-09-09 12:05:00-04:00,153.92,153.95,153.865,153.93,3294.0,153.36518152155244,153.36518152155244
AMD,2025-09-09 12:06:00-04:00,153.97,154.05,153.965,153.965,1256.0,153.3736844956603,153.3736844956603
AMD,2025-09-09 12:07:00-04:00,153.97,154.035,153.93,154.035,4123.0,153.403090084552,153.403090084552
AMD,2025-09-09 12:08:00-04:00,153.965,154.01,153.87,153.965,2472.0,153.41768146770872,153.41768146770872
AMD,2025-09-09 12:09:00-04:00,153.915,154.22,153.915,154.18,2508.0,153.43724970318513,153.43724970318513
AMD,2025-09-09 12:10:00-04:00,154.225,154.3,154.2,154.3,1555.0,153.4507656232684,153.4507656232684
