symbol,vwap,avwap,orb_high,orb_low
AAPL,235.9046508379888,235.9046508379888,,
AMD,153.46098500996015,153.46098500996015,,
NVDA,167.98908306485723,167.98908306485723,,
TSLA,347.2513273776583,347.2513273776583,,
