symbol
ISHARES RUSSELL 2000 ETF
FUND HOLDINGS AS OF
INCEPTION DATE
SHARES OUTSTANDING
STOCK
BOND
CASH
OTHER
TICKER
CRDO
FN
BE
SATS
KTOS
IONQ
NXT
CDE
ENSG
HIMS
SPXC
STRL
GTLS
UMBF
XTSLA
RMBS
BBIO
MOD
AVAV
CVLT
HQY
IDCC
WTS
OKLO
FSS
DY
MDGL
ONB
JBTM
CTRE
AHR
TMHC
FLR
ZWS
EAT
LRN
GH
JXN
CMC
HL
SANM
PRIM
ESNT
IBP
VRNS
JOBY
CYTK
CADE
GATX
UFPI
PIPR
GPI
RHP
AEIS
EPRT
TRNO
LUMN
ROAD
IRTC
FCFS
CWST
BOOT
HOMB
ORA
GBCI
MTH
MOGA
MARA
RYTM
HWC
RIOT
REZI
ITRI
SMTC
UBSI
UEC
ESE
ACIW
RNA
TXNM
BMI
UPST
VLY
SITM
MMSI
BDC
SOUN
SWX
QTWO
BCPC
CALM
